t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
1.0,19.4,0,17.8,0,0.001
2.0,42.2,0,41.8,0,0.0
3.0,61,0,59.6,0,0.001
4.0,79.4,0,78.4,0,0.001
5.0,100.2,0,99.8,0,0.0
6.0,118.8,0,118.2,0,0.0
7.0,139.4,0,138.4,0,0.001
8.0,156.6,0,155.6,0,0.001
9.0,175.4,0,174,0,0.001
10.0,197.2,20,195.8,0,0.011
11.0,218.6,1024,203.6,389.6,0.325
12.0,240,1944,211.8,797.2,0.588
13.0,264.6,2767.4,223.4,1189.4,0.81
14.0,287,3191,233.2,1588.8,0.828
15.0,306.4,3511.4,242.8,1983,0.796
16.0,330.2,3834.8,252,2381.2,0.766
17.0,350.6,4195.4,265.8,2776.6,0.752
18.0,368.4,4559.4,285.6,3166.4,0.738
19.0,388.8,4848,307,3541.2,0.694
20.0,410,5247.2,333.6,3916.6,0.704
21.0,427.2,5603.2,355,4278,0.699
22.0,448.8,5987.4,377.2,4658.8,0.7
23.0,468.4,6335,395.4,5024.4,0.692
24.0,487.4,6679,418.8,5401.4,0.673
25.0,506.8,6999.4,437.8,5784.6,0.642
26.0,527.4,7343.4,454.8,6170,0.623
27.0,547,7727.4,478,6538.6,0.629
28.0,564.6,8079.8,500.4,6912,0.616
29.0,586.4,8463,521.6,7275,0.626
30.0,609.6,8807.6,540,7661.8,0.608
31.0,629.6,9163.6,559,8052,0.591
32.0,647,9575.6,581.4,8431.2,0.605
33.0,666.4,9943.6,607.2,8813.2,0.595
34.0,685.6,10000,626.8,9197,0.431
35.0,704.4,10000,648.8,9539.4,0.258
36.0,724.8,10000,680.6,9817.8,0.113
37.0,747.8,10000,726.4,9955,0.033
38.0,766.4,10000,759.8,9993.4,0.007
39.0,783.2,10000,781.6,9999.4,0.001
40.0,805.8,10000,805.4,10000,0.0
41.0,828.2,10000,826.2,10000,0.001
42.0,847.6,10000,846.8,10000,0.0
43.0,868.8,10000,867.6,10000,0.001
44.0,885.8,10000,885.4,10000,0.0
45.0,907.2,10000,906.6,10000,0.0
46.0,926.6,10000,925.4,10000,0.001
47.0,949.8,10000,948.4,10000,0.001
48.0,966.8,10000,966.6,10000,0.0
49.0,986.2,10000,985.4,10000,0.0
50.0,1008.8,10000,1007.4,10000,0.001
51.0,1029.4,10000,1028.6,10000,0.0
52.0,1053,10000,1051.8,10000,0.001
