t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
53.0,1084.4,43192,558,16735.6,0.995
54.0,1101.6,44204,567,17133.4,0.993
55.0,1119.4,45208,575.6,17512.8,0.996
56.0,1142.2,46300,581,17893.6,0.993
57.0,1162.2,47276,587.2,18284.8,0.99
58.0,1179.8,48236,593,18680,0.995
59.0,1199.4,49356,601.4,19082.2,0.991
60.0,1223,50360,609.4,19467.8,0.99
61.0,1242.4,51292,614.8,19861.2,0.995
62.0,1263.8,52412,622.2,20257.6,0.996
63.0,1288,53516,631.2,20649.2,0.994
64.0,1306.2,54596,638.4,21046.2,0.996
65.0,1323.2,55588,647.4,21436.2,0.995
66.0,1340,56644,654,21825.4,0.995
67.0,1359.2,57776,660.4,22217.8,0.993
68.0,1379.4,58672,667.4,22625.2,0.992
69.0,1398.8,59660,672.6,23022.6,0.993
70.0,1417.6,60592,681.6,23405.4,0.993
71.0,1439.2,61568,690.2,23810.8,0.996
72.0,1458.2,62536,696.2,24186,0.995
73.0,1477.8,63604,706.4,24579.2,0.991
74.0,1498.6,64708,714,24968.4,0.996
75.0,1518.6,65692,720.6,25370.2,0.991
76.0,1537.8,66668,728.8,25757,0.995
77.0,1559.4,67724,734.2,26141.4,0.994
78.0,1576.8,68608,741,26539.6,0.985
79.0,1597.4,69584,747.6,26934.2,0.993
80.0,1617.2,70652,755.6,27327.2,0.996
81.0,1636.8,71668,765,27714.4,0.992
82.0,1657.4,72692,771,28124.8,0.993
83.0,1678.6,73584,779.2,28532.2,0.994
84.0,1701.4,74660,787.6,28916.2,0.995
85.0,1722.8,75680,796.4,29301.6,0.993
86.0,1744.4,76652,804.2,29696,0.989
87.0,1763.6,77580,812,30098.2,0.991
88.0,1784,78520,819.6,30493.2,0.991
89.0,1804.4,79468,827.6,30888.4,0.989
90.0,1821.8,80456,834,31274.2,0.992
91.0,1843.4,81452,841.6,31647.6,0.997
92.0,1866.2,82392,847.6,32043.4,0.993
93.0,1883.8,83416,855.4,32449.2,0.993
94.0,1901,84376,864.6,32844.8,0.996
95.0,1919.2,85472,869.4,33224.6,0.991
96.0,1941,86440,877.4,33612.6,0.993
97.0,1957.4,87424,885.4,34015.8,0.996
98.0,1978,88400,893.8,34416.6,0.993
99.0,1999,89448,900.4,34811.4,0.996
100.0,2018.2,90460,907.8,35192.6,0.995
101.0,2039,91464,914.8,35597.2,0.991
102.0,2060.4,92432,920.8,35997.4,0.995
103.0,2080.2,93480,927.6,36398,0.994
104.0,2101.6,94548,935.8,36788.2,0.995
105.0,2122.2,95652,943.8,37179.8,0.993
106.0,2143,96576,951.8,37571.2,0.994
107.0,2162.4,97576,959.4,37948.6,0.992
108.0,2184.2,98592,967.2,38332.4,0.991
109.0,2203,99588,976.4,38732.2,0.994
110.0,2223.4,100596,985.4,39135.8,0.995
111.0,2244.4,101592,992.4,39525.8,0.994
112.0,2260.2,102516,1000,39910.2,0.995
113.0,2278.4,103564,1007.6,40311.6,0.997
114.0,2295.8,104540,1014.8,40701.2,0.993
115.0,2315.2,105484,1021.8,41076.2,0.991
116.0,2333,106480,1028.6,41466.6,0.994
117.0,2353.2,107376,1038,41856.2,0.998
118.0,2375.8,108456,1044.6,42252.4,0.995
119.0,2396,109512,1051,42651.8,0.991
120.0,2414,110512,1061.8,43040.6,0.993
121.0,2433.6,111436,1069.2,43427.6,0.994
122.0,2453.4,112344,1076,43834,0.986
123.0,2473,113400,1085.2,44240.8,0.995
124.0,2492.2,114444,1094.4,44626,0.996
125.0,2509.8,115352,1100.6,45014,0.992
126.0,2529.4,116412,1107.6,45398,0.996
127.0,2547,117384,1114.2,45787.4,0.996
128.0,2570,118356,1123.4,46188.2,0.995
129.0,2591,119296,1129.6,46589.6,0.991
130.0,2614.6,120376,1137,46980,0.996
131.0,2636.6,121372,1145.4,47373.8,0.992
132.0,2657,122324,1154.8,47755,0.994
133.0,2678.6,123368,1163,48141.6,0.99
134.0,2697.4,124484,1171.6,48529.2,0.995
135.0,2721,125468,1178.6,48920.6,0.995
136.0,2737.8,126388,1186,49305.2,0.996
137.0,2755.6,127416,1195.2,49675.4,0.996
138.0,2778.2,128432,1202.6,50055.6,0.995
139.0,2802.8,129420,1209.6,50440.8,0.994
140.0,2824.2,130380,1217.8,50833.6,0.993
141.0,2840.4,131500,1227.6,51221.6,0.993
142.0,2859.2,132496,1236.6,51606.8,0.993
143.0,2879.6,133548,1242.6,52012.6,0.994
144.0,2899,134448,1249.6,52395.6,0.989
145.0,2919,135524,1258.4,52788.2,0.992
146.0,2939.6,136452,1268.2,53168.6,0.993
147.0,2965.2,137516,1274.8,53555,0.997
148.0,2982.8,138440,1284.8,53945.8,0.995
149.0,3000,139468,1293.4,54334,0.991
150.0,3021.4,140560,1302.4,54743.2,0.992
151.0,3040,141536,1307.6,55146.4,0.994
152.0,3059.2,142572,1317,55543.6,0.996
153.0,3081.2,143544,1325.4,55942,0.991
154.0,3105,144444,1332,56335.6,0.992
155.0,3124.6,145400,1341.4,56725.4,0.996
156.0,3141,146276,1350.6,57123.6,0.989
157.0,3157,147260,1358.6,57510.2,0.995
158.0,3175.6,148280,1366.8,57910.2,0.994
159.0,3192,149252,1373,58289.8,0.992
160.0,3211.4,150324,1381.6,58676.2,0.988
161.0,3233.4,151316,1386.6,59065,0.997
162.0,3250.4,152276,1395,59461.6,0.984
163.0,3269.8,153240,1404.2,59860.8,0.992
164.0,3288.2,154164,1412.8,60260.6,0.995
165.0,3308.8,155144,1423,60647.6,0.991
166.0,3330.6,156100,1430.2,61028,0.993
167.0,3352.4,157008,1438,61408.6,0.992
168.0,3371.6,157784,1445.6,61806.2,0.99
169.0,3392.8,158808,1456,62182.8,0.995
170.0,3414.2,159896,1466.8,62573.6,0.997
171.0,3430.8,160832,1475.6,62954.2,0.994
172.0,3451,161852,1481.4,63347,0.989
173.0,3468.8,162856,1489.4,63744.6,0.992
174.0,3487.8,163840,1495,64133.2,0.996
175.0,3505.6,164804,1501.8,64516,0.995
176.0,3525.4,165860,1509.2,64897.2,0.994
177.0,3545.2,166728,1515.8,65296.8,0.988
178.0,3565.4,167684,1524.4,65673,0.993
179.0,3588,168708,1533.4,66076,0.992
180.0,3607.6,169740,1539.4,66464.2,0.996
181.0,3629,170708,1549,66857,0.988
182.0,3650.4,171808,1555,67248,0.996
183.0,3676.2,172768,1564.4,67636.6,0.991
184.0,3694.6,173792,1572.4,68029.4,0.996
185.0,3718.4,174760,1581.8,68423,0.993
186.0,3740.4,175816,1591.2,68825.6,0.995
187.0,3760.2,176864,1602,69219.8,0.991
188.0,3782,177944,1610.4,69606.6,0.993
189.0,3798.8,178892,1617.8,69990.2,0.993
190.0,3818.6,179876,1627,70381.2,0.996
191.0,3841.4,180876,1635,70768,0.994
192.0,3863.4,181804,1642.6,71163,0.992
193.0,3883,182784,1651.8,71555.2,0.994
194.0,3902.6,183736,1661.8,71955.8,0.996
195.0,3923.6,184652,1671,72351,0.99
196.0,3944.2,185776,1679.6,72747.2,0.994
197.0,3962.8,186728,1687.2,73141.6,0.993
198.0,3982.8,187728,1697.4,73540.2,0.994
199.0,4000.6,188720,1705.2,73916,0.992
200.0,4021.2,189796,1712.6,74317.8,0.994
