t,delivered_useful,delivered_storm,processed_useful,processed_storm,inbox_fill_mean
1.0,19.4,0,17.8,0,0.001
2.0,42.2,0,41.8,0,0.0
3.0,61,0,59.6,0,0.001
4.0,79.4,0,78.4,0,0.001
5.0,100.2,0,99.8,0,0.0
6.0,118.8,0,118.2,0,0.0
7.0,139.4,0,138.4,0,0.001
8.0,156.6,0,155.6,0,0.001
9.0,175.4,0,174,0,0.001
10.0,197.2,20,195.8,0,0.011
11.0,218.6,1024,203.6,389.6,0.325
12.0,240,1944,211.8,797.2,0.588
13.0,264.4,2900,223.2,1188.8,0.868
14.0,286.4,3860,233.8,1584.4,0.991
15.0,306,4944,243.4,1961.8,0.995
16.0,325.8,5996,252.6,2339,0.994
17.0,342,6944,259.4,2740.4,0.992
18.0,364,7912,266,3129.4,0.995
19.0,384.2,8988,271.6,3514.2,0.996
20.0,402.2,9948,278.8,3886,0.981
21.0,421.4,10000,288,4268.6,0.806
22.0,441.2,10000,293.4,4662.8,0.616
23.0,462,10000,299.8,5050.8,0.429
24.0,482.4,10000,306.4,5433.6,0.245
25.0,503.6,10000,347.8,5741,0.081
26.0,523.4,10000,423.8,5832.4,0.007
27.0,542,10000,452.8,5835.4,0.0
28.0,559.8,10000,470.8,5835.4,0.0
29.0,579,10000,489,5835.4,0.001
30.0,599.8,10000,509.8,5835.4,0.001
31.0,618.4,10000,529.6,5835.4,0.0
32.0,639.2,10000,549.4,5835.4,0.001
33.0,659.6,10000,570.8,5835.4,0.0
34.0,680.2,10000,591.2,5835.4,0.0
35.0,699.2,10000,609.8,5835.4,0.001
36.0,720.4,10000,631,5835.4,0.001
37.0,739.4,10000,649.8,5835.4,0.001
38.0,758.4,10000,669,5835.4,0.001
39.0,776.2,10000,687,5835.4,0.0
40.0,796.6,10000,706.6,5835.4,0.001
41.0,816.4,10000,727.4,5835.4,0.0
42.0,837.8,10000,748,5835.4,0.001
43.0,856.8,10000,768,5835.4,0.0
44.0,873.6,10000,784.6,5835.4,0.0
45.0,892.6,10000,803.4,5835.4,0.0
46.0,913.6,10000,824,5835.4,0.001
47.0,931,10000,842,5835.4,0.0
48.0,950.4,10000,860.6,5835.4,0.001
49.0,971,10000,880.8,5835.4,0.001
50.0,991,10000,901.8,5835.4,0.0
51.0,1010.2,10000,920.6,5835.4,0.001
52.0,1029,10000,940,5835.4,0.0
